,StockName,StartTime,Period,StockAtStart,StockAtEnd,LableTime,LableValue
102,ADI,2008-12-31,365 days 00:00:00.000000000,14.8,20.99,2010-03-31,0.3459066778429728
103,ADI,2009-12-31,365 days 00:00:00.000000000,20.72,24.57,2011-03-31,0.17001545595054102
104,ADI,2010-12-31,365 days 00:00:00.000000000,30.8,25.11,2012-03-30,-0.20354140583079955
105,ADI,2011-12-31,365 days 00:00:00.000000000,31.94,32.47,2013-03-30,0.016457071883247867
106,ADI,2012-12-30,365 days 00:00:00.000000000,36.79,40.18,2014-03-30,0.0880862673769001
107,ADI,2013-12-30,365 days 00:00:00.000000000,41.47,,2015-03-30,
108,ADI,2014-12-30,365 days 00:00:00.000000000,46.09,50.95,2016-03-29,0.10016488046166527
109,ADI,2015-12-30,365 days 00:00:00.000000000,48.52,59.89,2017-03-29,0.20975924730190937
110,ADI,2016-12-29,365 days 00:00:00.000000000,70.8,,2018-03-29,
111,ANSS,2008-01-01,365 days 00:00:00.000000000,34.9,27.89,2009-03-31,-0.22328396241439713
112,ANSS,2008-12-31,365 days 00:00:00.000000000,24.55,43.46,2010-03-31,0.5560946919570651
113,ANSS,2009-12-31,365 days 00:00:00.000000000,41.97,52.07,2011-03-31,0.21480221182475548
114,ANSS,2010-12-31,365 days 00:00:00.000000000,52.68,57.28,2012-03-30,0.08366678792288107
115,ANSS,2011-12-31,365 days 00:00:00.000000000,60.93,67.34,2013-03-30,0.09994542761362755
116,ANSS,2012-12-30,365 days 00:00:00.000000000,73.99,87.2,2014-03-30,0.16390594950058945
117,ANSS,2013-12-30,365 days 00:00:00.000000000,78.51,82.0,2015-03-30,0.04348638714098804
118,ANSS,2014-12-30,365 days 00:00:00.000000000,80.82,92.5,2016-03-29,0.1347795984306486
119,ANSS,2015-12-30,365 days 00:00:00.000000000,87.35,92.49,2017-03-29,0.05716192170818507
120,ANSS,2016-12-29,365 days 00:00:00.000000000,93.46,147.59,2018-03-29,0.4491184401576437
121,AAPL,2008-01-01,365 days 00:00:00.000000000,16.89,10.58,2009-03-31,-0.45941026574444854
122,AAPL,2008-12-31,365 days 00:00:00.000000000,11.05,26.13,2010-03-31,0.8111888111888111
123,AAPL,2009-12-31,365 days 00:00:00.000000000,23.86,40.0,2011-03-31,0.505480739116818
124,AAPL,2010-12-31,365 days 00:00:00.000000000,42.32,50.22,2012-03-30,0.17073697860384696
125,AAPL,2011-12-31,365 days 00:00:00.000000000,56.85,72.89,2013-03-30,0.24726375828580235
126,AAPL,2012-12-30,365 days 00:00:00.000000000,57.44,60.79,2014-03-30,0.05666920409371567
127,AAPL,2013-12-30,365 days 00:00:00.000000000,64.46,,2015-03-30,
128,AAPL,2014-12-30,365 days 00:00:00.000000000,108.21,102.39,2016-03-29,-0.05527065527065521
129,AAPL,2015-12-30,365 days 00:00:00.000000000,89.94,107.19,2017-03-29,0.17501141378785573
130,AAPL,2016-12-29,365 days 00:00:00.000000000,121.06,148.7,2018-03-29,0.20492289442467368
131,AMAT,2008-01-01,365 days 00:00:00.000000000,14.1,11.96,2009-03-31,-0.1642363775901764
132,AMAT,2008-12-31,365 days 00:00:00.000000000,7.35,10.8,2010-03-31,0.38016528925619847
133,AMAT,2009-12-31,365 days 00:00:00.000000000,10.01,9.63,2011-03-31,-0.03869653767820764
134,AMAT,2010-12-31,365 days 00:00:00.000000000,13.11,8.75,2012-03-30,-0.39890210430009143
135,AMAT,2011-12-31,365 days 00:00:00.000000000,10.58,9.71,2013-03-30,-0.08575653031049771
136,AMAT,2012-12-30,365 days 00:00:00.000000000,11.34,15.68,2014-03-30,0.32124352331606215
137,AMAT,2013-12-30,365 days 00:00:00.000000000,14.94,19.74,2015-03-30,0.27681660899653976
138,AMAT,2014-12-30,365 days 00:00:00.000000000,21.03,13.68,2016-03-29,-0.4235090751944685
139,AMAT,2015-12-30,365 days 00:00:00.000000000,16.34,28.61,2017-03-29,0.5459399332591768
140,AMAT,2016-12-29,365 days 00:00:00.000000000,32.93,,2018-03-29,
141,ASML,2008-01-01,365 days 00:00:00.000000000,18.64,10.85,2009-03-31,-0.5283146829433707
142,ASML,2008-12-31,365 days 00:00:00.000000000,11.6,22.28,2010-03-31,0.6304604486422669
143,ASML,2009-12-31,365 days 00:00:00.000000000,22.7,23.65,2011-03-31,0.040992448759439026
144,ASML,2010-12-31,365 days 00:00:00.000000000,31.19,29.03,2012-03-30,-0.07173696446363335
145,ASML,2011-12-31,365 days 00:00:00.000000000,32.44,46.49,2013-03-30,0.3560116558976309
146,ASML,2012-12-30,365 days 00:00:00.000000000,72.14,87.6,2014-03-30,0.19356454238136964
147,ASML,2013-12-30,365 days 00:00:00.000000000,80.17,100.13,2015-03-30,0.2214087631724902
148,ASML,2014-12-30,365 days 00:00:00.000000000,97.57,88.51,2016-03-29,-0.09737747205502997
149,ASML,2015-12-30,365 days 00:00:00.000000000,86.89,99.62,2017-03-29,0.13650742587528825
150,ASML,2016-12-29,365 days 00:00:00.000000000,117.5,171.22,2018-03-29,0.37212524244943196
151,ADSK,2008-01-01,365 days 00:00:00.000000000,41.84,19.65,2009-03-31,-0.7217433729061637
152,ADSK,2008-12-31,365 days 00:00:00.000000000,16.4,25.41,2010-03-31,0.43099736905046643
153,ADSK,2009-12-31,365 days 00:00:00.000000000,23.73,38.2,2011-03-31,0.46730179234619734
154,ADSK,2010-12-31,365 days 00:00:00.000000000,41.0,30.33,2012-03-30,-0.29917285854479186
155,ADSK,2011-12-31,365 days 00:00:00.000000000,36.33,35.35,2013-03-30,-0.02734374999999991
156,ADSK,2012-12-30,365 days 00:00:00.000000000,39.39,50.32,2014-03-30,0.24367406086278004
157,ADSK,2013-12-30,365 days 00:00:00.000000000,51.01,60.06,2015-03-30,0.1629602953092645
158,ADSK,2014-12-30,365 days 00:00:00.000000000,54.34,60.93,2016-03-29,0.11434024464301198
159,ADSK,2015-12-30,365 days 00:00:00.000000000,46.65,74.01,2017-03-29,0.4535057185479862
160,ADSK,2016-12-29,365 days 00:00:00.000000000,81.09,104.83,2018-03-29,0.25537865748709115
161,ADP,2008-01-01,365 days 00:00:00.000000000,25.91,,2009-03-31,
162,ADP,2008-12-31,365 days 00:00:00.000000000,23.63,,2010-03-31,
163,ADP,2009-12-31,365 days 00:00:00.000000000,27.84,,2011-03-31,
164,ADP,2010-12-31,365 days 00:00:00.000000000,33.69,,2012-03-30,
165,ADP,2011-12-31,365 days 00:00:00.000000000,39.88,,2013-03-30,
166,ADP,2012-12-30,365 days 00:00:00.000000000,44.49,,2014-03-30,
167,ADP,2013-12-30,365 days 00:00:00.000000000,58.39,,2015-03-30,
168,ADP,2014-12-30,365 days 00:00:00.000000000,72.74,,2016-03-29,
169,ADP,2015-12-30,365 days 00:00:00.000000000,73.51,,2017-03-29,
170,ADP,2016-12-29,365 days 00:00:00.000000000,89.6,,2018-03-29,
171,BIDU,2008-01-01,365 days 00:00:00.000000000,28.27,13.06,2009-03-31,-0.7360270989595935
172,BIDU,2008-12-31,365 days 00:00:00.000000000,12.8,41.12,2010-03-31,1.0504451038575666
173,BIDU,2009-12-31,365 days 00:00:00.000000000,41.78,105.05,2011-03-31,0.8618129809984336
174,BIDU,2010-12-31,365 days 00:00:00.000000000,116.39,116.47,2012-03-30,0.0006871081336425173
175,BIDU,2011-12-31,365 days 00:00:00.000000000,129.81,100.29,2013-03-30,-0.2565840938722294
176,BIDU,2012-12-30,365 days 00:00:00.000000000,108.86,177.88,2014-03-30,0.4814117318825416
177,BIDU,2013-12-30,365 days 00:00:00.000000000,156.26,227.97,2015-03-30,0.3732660125445697
178,BIDU,2014-12-30,365 days 00:00:00.000000000,218.77,189.04,2016-03-29,-0.14580319266325012
179,BIDU,2015-12-30,365 days 00:00:00.000000000,160.27,164.41,2017-03-29,0.025502032770728017
180,BIDU,2016-12-29,365 days 00:00:00.000000000,176.73,234.21,2018-03-29,0.2797488684479487
181,BIIB,2008-01-01,365 days 00:00:00.000000000,61.13,47.63,2009-03-31,-0.24825303420375136
182,BIIB,2008-12-31,365 days 00:00:00.000000000,48.15,53.5,2010-03-31,0.10526315789473686
183,BIIB,2009-12-31,365 days 00:00:00.000000000,53.41,67.05,2011-03-31,0.22646521666943387
184,BIIB,2010-12-31,365 days 00:00:00.000000000,67.75,110.05,2012-03-30,0.4758155230596175
185,BIIB,2011-12-31,365 days 00:00:00.000000000,118.46,146.37,2013-03-30,0.2107767246913115
186,BIIB,2012-12-30,365 days 00:00:00.000000000,157.28,279.57,2014-03-30,0.5598718095456106
187,BIIB,2013-12-30,365 days 00:00:00.000000000,314.84,339.45,2015-03-30,0.07522658148527415
188,BIIB,2014-12-30,365 days 00:00:00.000000000,389.03,306.35,2016-03-29,-0.23779803848255615
189,BIIB,2015-12-30,365 days 00:00:00.000000000,270.34,287.77,2017-03-29,0.062460805217609466
190,BIIB,2016-12-29,365 days 00:00:00.000000000,278.98,318.57,2018-03-29,0.13250773993808043
191,BMRN,2008-01-01,365 days 00:00:00.000000000,37.13,17.8,2009-03-31,-0.7038048425268524
192,BMRN,2008-12-31,365 days 00:00:00.000000000,19.05,18.81,2010-03-31,-0.012678288431061911
193,BMRN,2009-12-31,365 days 00:00:00.000000000,19.63,26.93,2011-03-31,0.313573883161512
194,BMRN,2010-12-31,365 days 00:00:00.000000000,25.6,34.38,2012-03-30,0.29276425475158385
195,BMRN,2011-12-31,365 days 00:00:00.000000000,36.0,49.2,2013-03-30,0.3098591549295775
196,BMRN,2012-12-30,365 days 00:00:00.000000000,54.89,70.35,2014-03-30,0.2468859789204726
197,BMRN,2013-12-30,365 days 00:00:00.000000000,68.89,90.4,2015-03-30,0.2700734509385398
198,BMRN,2014-12-30,365 days 00:00:00.000000000,97.72,104.76,2016-03-29,0.06953773212169109
199,BMRN,2015-12-30,365 days 00:00:00.000000000,73.81,82.84,2017-03-29,0.11528886051707629
200,BMRN,2016-12-29,365 days 00:00:00.000000000,87.79,89.17,2018-03-29,0.015596745027124721
201,BKNG,2008-01-01,365 days 00:00:00.000000000,109.92,73.65,2009-03-31,-0.39516260826932503
202,BKNG,2008-12-31,365 days 00:00:00.000000000,66.28,218.41,2010-03-31,1.0687414380554288
203,BKNG,2009-12-31,365 days 00:00:00.000000000,196.52,399.55,2011-03-31,0.6812287147482677
204,BKNG,2010-12-31,365 days 00:00:00.000000000,432.0,467.71,2012-03-30,0.07938113392093003
205,BKNG,2011-12-31,365 days 00:00:00.000000000,533.41,620.39,2013-03-30,0.15077136418790088
206,BKNG,2012-12-30,365 days 00:00:00.000000000,693.12,1162.4,2014-03-30,0.5058204708114168
207,BKNG,2013-12-30,365 days 00:00:00.000000000,1143.83,1140.21,2015-03-30,-0.0031698218945376533
208,BKNG,2014-12-30,365 days 00:00:00.000000000,1012.0,1274.95,2016-03-29,0.2299569295349702
209,BKNG,2015-12-30,365 days 00:00:00.000000000,1063.0,1466.06,2017-03-29,0.31874293215661154
210,BKNG,2016-12-29,365 days 00:00:00.000000000,1584.09,1737.74,2018-03-29,0.0925092494197476
211,AVGO,2008-12-31,365 days 00:00:00.000000000,15.15,15.19,2010-03-31,0.0026367831245879465
212,AVGO,2009-12-31,365 days 00:00:00.000000000,14.43,23.59,2011-03-31,0.48185165702261973
213,AVGO,2010-12-31,365 days 00:00:00.000000000,24.08,,2012-03-30,
214,AVGO,2011-12-31,365 days 00:00:00.000000000,28.99,,2013-03-30,
215,AVGO,2012-12-30,365 days 00:00:00.000000000,30.81,,2014-03-30,
216,AVGO,2013-12-30,365 days 00:00:00.000000000,48.04,,2015-03-30,
217,AVGO,2014-12-30,365 days 00:00:00.000000000,91.93,,2016-03-29,
218,AVGO,2015-12-30,365 days 00:00:00.000000000,120.15,,2017-03-29,
219,AVGO,2016-12-29,365 days 00:00:00.000000000,185.03,,2018-03-29,
220,CDNS,2008-01-01,365 days 00:00:00.000000000,10.13,3.66,2009-03-31,-0.9383611312545324
221,CDNS,2008-12-31,365 days 00:00:00.000000000,3.1,5.99,2010-03-31,0.6358635863586359
222,CDNS,2009-12-31,365 days 00:00:00.000000000,5.81,8.26,2011-03-31,0.3482587064676617
223,CDNS,2010-12-31,365 days 00:00:00.000000000,8.68,10.34,2012-03-30,0.17455310199789698
224,CDNS,2011-12-31,365 days 00:00:00.000000000,10.65,13.51,2013-03-30,0.23675496688741718
225,CDNS,2012-12-30,365 days 00:00:00.000000000,13.96,14.02,2014-03-30,0.004288777698355877
226,CDNS,2013-12-30,365 days 00:00:00.000000000,14.06,18.97,2015-03-30,0.2973054798667877
227,CDNS,2014-12-30,365 days 00:00:00.000000000,17.97,20.81,2016-03-29,0.14646725116039194
228,CDNS,2015-12-30,365 days 00:00:00.000000000,19.36,25.22,2017-03-29,0.26289816061013904
229,CDNS,2016-12-29,365 days 00:00:00.000000000,26.03,41.82,2018-03-29,0.46543846720707444
230,CDW,2012-12-30,365 days 00:00:00.000000000,17.44,,2014-03-30,
231,CDW,2013-12-30,365 days 00:00:00.000000000,22.18,29.23,2015-03-30,0.27426570706088316
232,CDW,2014-12-30,365 days 00:00:00.000000000,32.26,38.75,2016-03-29,0.18279115617518668
233,CDW,2015-12-30,365 days 00:00:00.000000000,36.27,43.81,2017-03-29,0.18831168831168826
234,CDW,2016-12-29,365 days 00:00:00.000000000,50.84,64.14,2018-03-29,0.2313445816663767
235,CERN,2008-01-01,365 days 00:00:00.000000000,12.31,9.54,2009-03-31,-0.25354691075514885
236,CERN,2008-12-31,365 days 00:00:00.000000000,8.31,20.45,2010-03-31,0.8442280945757997
237,CERN,2009-12-31,365 days 00:00:00.000000000,18.87,23.51,2011-03-31,0.21897121283624352
238,CERN,2010-12-31,365 days 00:00:00.000000000,24.59,30.26,2012-03-30,0.20674567000911584
239,CERN,2011-12-31,365 days 00:00:00.000000000,30.42,38.46,2013-03-30,0.23344947735191637
240,CERN,2012-12-30,365 days 00:00:00.000000000,41.22,57.04,2014-03-30,0.3220028495827397
241,CERN,2013-12-30,365 days 00:00:00.000000000,56.32,64.17,2015-03-30,0.1303012698149224
242,CERN,2014-12-30,365 days 00:00:00.000000000,66.4,59.72,2016-03-29,-0.10593085949889006
243,CERN,2015-12-30,365 days 00:00:00.000000000,56.95,47.01,2017-03-29,-0.19122739515198162
244,CERN,2016-12-29,365 days 00:00:00.000000000,53.21,66.88,2018-03-29,0.2276625863935381
245,CHTR,2009-12-31,365 days 00:00:00.000000000,30.25,38.94,2011-03-31,0.2511923688394276
246,CHTR,2010-12-31,365 days 00:00:00.000000000,41.93,56.94,2012-03-30,0.30363103064630315
247,CHTR,2011-12-31,365 days 00:00:00.000000000,57.96,76.24,2013-03-30,0.2724292101341281
248,CHTR,2012-12-30,365 days 00:00:00.000000000,78.06,136.76,2014-03-30,0.5465040499022437
249,CHTR,2013-12-30,365 days 00:00:00.000000000,137.73,166.62,2015-03-30,0.1898472153770331
250,CHTR,2014-12-30,365 days 00:00:00.000000000,151.16,183.1,2016-03-29,0.19110871776461436
251,CHTR,2015-12-30,365 days 00:00:00.000000000,169.64,275.31,2017-03-29,0.47497471626025406
252,CHTR,2016-12-29,365 days 00:00:00.000000000,323.85,335.96,2018-03-29,0.03670753701823239
253,CHKP,2008-01-01,365 days 00:00:00.000000000,21.39,18.99,2009-03-31,-0.11887072808320963
254,CHKP,2008-12-31,365 days 00:00:00.000000000,22.26,33.88,2010-03-31,0.41396508728179554
255,CHKP,2009-12-31,365 days 00:00:00.000000000,32.09,46.26,2011-03-31,0.36171027440969994
256,CHKP,2010-12-31,365 days 00:00:00.000000000,45.23,52.54,2012-03-30,0.14953462207221035
257,CHKP,2011-12-31,365 days 00:00:00.000000000,57.0,47.64,2013-03-30,-0.17889908256880732
258,CHKP,2012-12-30,365 days 00:00:00.000000000,50.0,64.5,2014-03-30,0.25327510917030566
259,CHKP,2013-12-30,365 days 00:00:00.000000000,64.72,78.57,2015-03-30,0.19331425779886935
260,CHKP,2014-12-30,365 days 00:00:00.000000000,77.15,81.38,2016-03-29,0.05336529363527395
261,CHKP,2015-12-30,365 days 00:00:00.000000000,79.55,84.46,2017-03-29,0.05987439790256688
262,CHKP,2016-12-29,365 days 00:00:00.000000000,98.56,103.62,2018-03-29,0.05005440696409143
263,CTAS,2008-01-01,365 days 00:00:00.000000000,27.05,19.94,2009-03-31,-0.30261757820812935
264,CTAS,2008-12-31,365 days 00:00:00.000000000,17.86,23.81,2010-03-31,0.2855771538276937
265,CTAS,2009-12-31,365 days 00:00:00.000000000,21.36,23.12,2011-03-31,0.07913669064748208
266,CTAS,2010-12-31,365 days 00:00:00.000000000,24.94,,2012-03-30,
267,CTAS,2011-12-31,365 days 00:00:00.000000000,33.52,,2013-03-30,
268,CTAS,2012-12-30,365 days 00:00:00.000000000,38.76,,2014-03-30,
269,CTAS,2013-12-30,365 days 00:00:00.000000000,52.72,,2015-03-30,
270,CTAS,2014-12-30,365 days 00:00:00.000000000,74.48,,2016-03-29,
271,CTAS,2015-12-30,365 days 00:00:00.000000000,81.68,,2017-03-29,
272,CTAS,2016-12-29,365 days 00:00:00.000000000,112.16,,2018-03-29,
273,CSCO,2008-01-01,365 days 00:00:00.000000000,19.06,12.62,2009-03-31,-0.4065656565656565
